url,Name,Rates,Reviews,Type,Phone,Neighborhood,Website,direction,Latitude,Longitude
https://www.google.com/maps/place/%D9%85%D8%B1%D9%83%D8%B2+%D8%A7%D9%84%D8%B1%D9%88%D8%A7%D8%AF+%D8%A7%D9%84%D8%A7%D8%B0%D9%83%D9%8A%D8%A7%D8%A1+%D9%84%D8%B6%D9%8A%D8%A7%D9%81%D8%A9+%D8%A7%D9%84%D8%A7%D8%B7%D9%81%D8%A7%D9%84%E2%80%AD/data=!4m7!3m6!1s0x3e2efd9132d4b7d1:0x3a79716b86b80e39!8m2!3d24.775561!4d46.7219736!16s%2Fg%2F11bw20sq_q!19sChIJ0bfUMpH9Lj4ROQ64hmtxeTo?authuser=0&hl=ar&rclk=1,مركز الرواد الاذكياء لضيافة الاطفال,4.3,163,حضانة أطفال,050 994 8694,الازدهار,No Website,شمال الرياض,24.775561,46.7219736
https://www.google.com/maps/place/%D9%85%D8%B1%D9%83%D8%B2+%D8%B4%D8%AC%D8%B1%D8%A9+%D8%A7%D9%84%D8%B9%D9%84%D9%85+%D9%84%D8%B6%D9%8A%D8%A7%D9%81%D8%A9+%D8%A7%D9%84%D8%A7%D8%B7%D9%81%D8%A7%D9%84%E2%80%AD/data=!4m7!3m6!1s0x3e2efd0062abf0cd:0x5ef9158dcd18188!8m2!3d24.7764117!4d46.7242315!16s%2Fg%2F11h_3yx_gv!19sChIJzfCrYgD9Lj4RiIHR3FiR7wU?authuser=0&hl=ar&rclk=1,مركز شجرة العلم لضيافة الاطفال,3.8,48,حضانة أطفال,054 327 5455,الازدهار,No Website,شمال الرياض,24.7764117,46.7242315
https://www.google.com/maps/place/%D9%85%D8%B1%D9%83%D8%B2+%D8%A7%D8%B4%D8%A8%D8%A7%D9%84+%D8%A7%D9%84%D8%BA%D8%AF+%D9%84%D8%B6%D9%8A%D8%A7%D9%81%D8%A9%E2%80%AD/data=!4m7!3m6!1s0x3e2efd676cd2af7b:0x5cf844364f1d0271!8m2!3d24.7810837!4d46.7223185!16s%2Fg%2F11q97kqbkf!19sChIJe6_SbGf9Lj4RcQIdTzZE-Fw?authuser=0&hl=ar&rclk=1,مركز اشبال الغد لضيافة,3.6,32,حضانة أطفال,050 908 4095,الازدهار,No Website,شمال الرياض,24.7810837,46.7223185
https://www.google.com/maps/place/%D9%85%D8%B1%D9%83%D8%B2+%D9%86%D8%AC%D9%88%D9%85+%D8%B5%D8%BA%D9%8A%D8%B1%D8%A9+%D9%84%D8%B6%D9%8A%D8%A7%D9%81%D8%A9+%D8%A7%D9%84%D8%A3%D8%B7%D9%81%D8%A7%D9%84+%D8%AD%D9%8A+%D8%BA%D8%B1%D9%86%D8%A7%D8%B7%D8%A9%E2%80%AD/data=!4m7!3m6!1s0x3e2efd0e05bfd14d:0xe4dfc9ad9d244900!8m2!3d24.7860636!4d46.7397893!16s%2Fg%2F11pbdsxt4z!19sChIJTdG_BQ79Lj4RAEkkna3J3-Q?authuser=0&hl=ar&rclk=1,مركز نجوم صغيرة لضيافة الأطفال حي غرناطة,4.1,81,حضانة أطفال,050 004 6990,الازدهار,No Website,شمال الرياض,24.7860636,46.7397893
https://www.google.com/maps/place/%D8%AD%D8%B6%D8%A7%D9%86%D8%A9+%D9%81%D8%AA%D8%A7%D9%81%D9%8A%D8%AA+%D8%A7%D9%84%D8%B3%D9%83%D8%B1+%D8%A7%D9%84%D9%85%D9%86%D8%B2%D9%84%D9%8A%D9%87%E2%80%AD/data=!4m7!3m6!1s0x3e2efdb013957f15:0x7adb4f9d31a40518!8m2!3d24.7753876!4d46.7218082!16s%2Fg%2F11s0py2x_2!19sChIJFX-VE7D9Lj4RGAWkMZ1P23o?authuser=0&hl=ar&rclk=1,حضانة فتافيت السكر المنزليه,4.0,2,حضانة أطفال,No Phone,الازدهار,No Website,شمال الرياض,24.7753876,46.7218082
https://www.google.com/maps/place/%D9%85%D8%AF%D8%B1%D8%B3%D8%A9+%D8%A7%D9%84%D8%B1%D9%88%D8%B6%D8%A9+59%E2%80%AD/data=!4m7!3m6!1s0x3e2efd934a77707d:0xcbbf0a99d4583b00!8m2!3d24.7837323!4d46.7078319!16s%2Fg%2F11cs0f30rl!19sChIJfXB3SpP9Lj4RADtY1JkKv8s?authuser=0&hl=ar&rclk=1,مدرسة الروضة 59,3.6,25,حضانة أطفال,011 263 0534,الازدهار,No Website,شمال الرياض,24.7837323,46.7078319
https://www.google.com/maps/place/%D8%AD%D8%B6%D8%A7%D9%86%D8%A9+%D8%A8%D9%8A%D8%AA%D9%8A+%D8%A7%D9%84%D8%AB%D8%A7%D9%86%D9%8A%E2%80%AD/data=!4m7!3m6!1s0x3e2ee3a63ef7f8db:0xe1071b5d52877467!8m2!3d24.7764051!4d46.6285312!16s%2Fg%2F11c2nndr97!19sChIJ2_j3PqbjLj4RZ3SHUl0bB-E?authuser=0&hl=ar&rclk=1,حضانة بيتي الثاني,4.1,224,حضانة,9200 22756,العقيق,https://my2ndhome.com.sa/,شمال الرياض,24.7764051,46.6285312
https://www.google.com/maps/place/%D9%85%D8%B1%D9%83%D8%B2+%D8%AC%D9%88%D8%AF+%D9%84%D8%B6%D9%8A%D8%A7%D9%81%D8%A9+%D8%A7%D9%84%D8%A7%D8%B7%D9%81%D8%A7%D9%84%E2%80%AD/data=!4m7!3m6!1s0x3e2ee3cfc3eeca1f:0x5ba5d129f24b656e!8m2!3d24.7803969!4d46.6344865!16s%2Fg%2F11fmz9t5q3!19sChIJH8ruw8_jLj4RbmVL8inRpVs?authuser=0&hl=ar&rclk=1,مركز جود لضيافة الاطفال,4.9,74,حضانة أطفال,050 480 3224,العقيق,No Website,شمال الرياض,24.7803969,46.6344865
https://www.google.com/maps/place/%D8%B1%D9%83%D9%86+%D8%A7%D9%84%D8%B7%D9%81%D9%84+%D8%AD%D8%B6%D8%A7%D9%86%D8%A9+%D9%88%D8%B1%D9%8A%D8%A7%D8%B6+%D8%A3%D8%B7%D9%81%D8%A7%D9%84%E2%80%AD/data=!4m7!3m6!1s0x3e2ee3150ff4c90b:0x2f095f2efef0e924!8m2!3d24.7721072!4d46.6317287!16s%2Fg%2F11t2tz1kwl!19sChIJC8n0DxXjLj4RJOnw_i5fCS8?authuser=0&hl=ar&rclk=1,ركن الطفل حضانة ورياض أطفال,4.5,43,حضانة أطفال,055 190 9956,العقيق,https://childcorner.net/,شمال الرياض,24.7721072,46.6317287
https://www.google.com/maps/place/%D8%AD%D8%B6%D8%A7%D9%86%D8%A9+%D8%BA%D9%8A%D9%85%D8%A9%E2%80%AD/data=!4m7!3m6!1s0x3e2ee3153525e88b:0x8a5964501907cb68!8m2!3d24.7909613!4d46.6308167!16s%2Fg%2F11rxmr2gzf!19sChIJi-glNRXjLj4RaMsHGVBkWYo?authuser=0&hl=ar&rclk=1,حضانة غيمة,3.9,98,حضانة أطفال,059 423 1326,العقيق,No Website,شمال الرياض,24.7909613,46.6308167
