url,Name,Rates,Reviews,Type,Phone,Website,Neighborhood,google-symbols,Website.1,direction
https://www.google.com/maps/place/%D8%A2%D9%8A+%D8%A2%D9%85+%D8%B3%D8%A8%D9%8A%D8%B4%D9%84+%D9%84%D9%84%D8%A3%D8%B7%D9%81%D8%A7%D9%84%E2%80%AD/data=!4m7!3m6!1s0x3e2f05877b96fb69:0x9c0f9b307d1dcec7!8m2!3d24.6006828!4d46.6973605!16s%2Fg%2F11hy9qzmtz!19sChIJafuWe4cFLz4Rx84dfTCbD5w?authuser=0&hl=ar&rclk=1,آي آم سبيشل للأطفال,3.9,(95),حضانة أطفال,053 733 3567,https://ssl.gstatic.com/local/servicebusiness/default_user.png,السويدي,,,غرب الرياض
https://www.google.com/maps/place/%D8%A8%D8%B1%D8%A7%D8%B9%D9%85+%D8%A7%D9%84%D9%86%D8%AF%D9%88%D8%A9+%D8%A7%D9%84%D8%A3%D9%87%D9%84%D9%8A%D8%A9%E2%80%AD/data=!4m7!3m6!1s0x3e2f100116734bf7:0x79c5abf973577bc3!8m2!3d24.5855753!4d46.6670187!16s%2Fg%2F11c1sk67cg!19sChIJ90tzFgEQLz4Rw3tXc_mrxXk?authuser=0&hl=ar&rclk=1,براعم الندوة الأهلية,3.9,(65),المركز التعليمي,053 445 6988,,السويدي,,,غرب الرياض
https://www.google.com/maps/place/%D8%B9%D8%A7%D9%84%D9%85+%D9%85%D9%86%D8%AA%D8%B3%D9%88%D8%B1%D9%8A+%D8%B1%D9%88%D8%B6%D8%A9+%D8%AA%D9%85%D9%87%D9%8A%D8%AF%D9%8A+%D8%AD%D8%B6%D8%A7%D9%86%D8%A9%E2%80%AD/data=!4m7!3m6!1s0x3e2f1aa59d0ee34d:0x991e0f58e7331780!8m2!3d24.5936586!4d46.6601539!16s%2Fg%2F11c5751bzt!19sChIJTeMOnaUaLz4RgBcz51gPHpk?authuser=0&hl=ar&rclk=1,عالم منتسوري روضة تمهيدي حضانة,3.7,(70),مدرسة,056 060 6387,https://ssl.gstatic.com/local/servicebusiness/default_user.png,السويدي,,,غرب الرياض
https://www.google.com/maps/place/%D9%85%D8%B1%D9%83%D8%B2+%D8%A7%D8%B3%D9%85%D8%A7%D8%A1+%D8%B9%D8%A8%D8%AF+%D8%A7%D9%84%D9%84%D9%87+%D8%B9%D9%84%D9%8A+%D8%A7%D9%84%D9%82%D9%86%D8%A7%D8%B5+%D9%84%D8%B6%D9%8A%D8%A7%D9%81%D8%A9+%D8%A7%D9%84%D8%A3%D8%B7%D9%81%D8%A7%D9%84+%D8%A7%D9%84%D8%A3%D9%87%D9%84%D9%8A%D8%A9%E2%80%AD/data=!4m7!3m6!1s0x3e2f0565e1325901:0x2ea62b326ad7f569!8m2!3d24.5976165!4d46.6807422!16s%2Fg%2F11p0_gl55n!19sChIJAVky4WUFLz4RafXXajIrpi4?authuser=0&hl=ar&rclk=1,مركز اسماء عبد الله علي القناص لضيافة الأطفال الأهلية,4.6,(15),حضانة أطفال,054 309 6494,https://ssl.gstatic.com/local/servicebusiness/default_user.png,السويدي,,,غرب الرياض
https://www.google.com/maps/place/%D9%85%D8%B1%D9%83%D8%B2+%D8%A8%D8%B1%D8%A7%D8%B9%D9%85+%D8%A7%D9%84%D8%A8%D8%AF%D9%8A%D8%B9%D8%A9+%D9%84%D8%B6%D9%8A%D8%A7%D9%81%D8%A9+%D8%A7%D9%84%D8%A7%D8%B7%D9%81%D8%A7%D9%84+%D8%AC%D8%AF%D9%8A%D8%AF%E2%80%AD/data=!4m7!3m6!1s0x3e2f1bfdbc361ce1:0xd8f3e3442a538677!8m2!3d24.5985285!4d46.6516845!16s%2Fg%2F11p0102df5!19sChIJ4Rw2vP0bLz4Rd4ZTKkTj89g?authuser=0&hl=ar&rclk=1,مركز براعم البديعة لضيافة الاطفال جديد,4.1,(71),حضانة أطفال,050 069 9735,https://ssl.gstatic.com/local/servicebusiness/default_user.png,السويدي,,,غرب الرياض
https://www.google.com/maps/place/%D8%A7%D9%84%D8%B1%D9%88%D8%B6%D8%A9+83+%D8%A8%D8%AD%D9%8A+%D8%A7%D9%84%D8%AF%D8%B1%D9%8A%D9%87%D9%85%D9%8A%D8%A9%E2%80%AD/data=!4m7!3m6!1s0x3e2f0fb470b6549b:0x9886c686d761a9f3!8m2!3d24.5908796!4d46.6950287!16s%2Fg%2F11rj6bzts9!19sChIJm1S2cLQPLz4R86lh14bGhpg?authuser=0&hl=ar&rclk=1,الروضة 83 بحي الدريهمية,4.1,(15),رياض أطفال,011 810 3127,https://ssl.gstatic.com/local/servicebusiness/default_user.png,السويدي,,,غرب الرياض
https://www.google.com/maps/place/%D9%85%D8%B1%D9%83%D8%B2+%D8%A7%D9%84%D9%85%D8%AC%D8%AF+%D9%84%D8%B6%D9%8A%D8%A7%D9%81%D8%A9+%D8%A7%D9%84%D8%A3%D8%B7%D9%81%D8%A7%D9%84+%D8%A7%D9%84%D8%A3%D9%87%D9%84%D9%8A%D8%A9%E2%80%AD/data=!4m7!3m6!1s0x3e2f11841d290925:0x87c2bf76be8d5a8c!8m2!3d24.5763425!4d46.6583325!16s%2Fg%2F11l6vm83w3!19sChIJJQkpHYQRLz4RjFqNvna_woc?authuser=0&hl=ar&rclk=1,مركز المجد لضيافة الأطفال الأهلية,4.6,(64),حضانة أطفال,055 744 3947,https://ssl.gstatic.com/local/servicebusiness/default_user.png,السويدي,,,غرب الرياض
https://www.google.com/maps/place/%D9%85%D8%AF%D8%A7%D8%B1%D8%B3+%D8%B1%D9%88%D8%B6%D8%A9+%D8%A7%D9%84%D9%82%D8%A7%D8%AF%D8%A9+%D8%A7%D9%84%D8%A7%D9%87%D9%84%D9%8A%D8%A9%E2%80%AD/data=!4m7!3m6!1s0x3e2f1ab1e83b403d:0x2ab3c7ae5fa1bed1!8m2!3d24.5984286!4d46.6644611!16s%2Fg%2F11cmyjhxks!19sChIJPUA76LEaLz4R0b6hX67Hsyo?authuser=0&hl=ar&rclk=1,مدارس روضة القادة الاهلية,3.9,(101),مدرسة خاصة,011 426 8182,https://ssl.gstatic.com/local/servicebusiness/default_user.png,السويدي,,,غرب الرياض
https://www.google.com/maps/place/%D9%85%D8%B1%D9%83%D8%B2+%D8%AD%D8%B1%D9%88%D9%81+%D8%A7%D9%84%D8%B7%D9%81%D9%88%D9%84%D8%A9%E2%80%AD/data=!4m7!3m6!1s0x3e2f115f137c2e6b:0x12e0e32a3303f596!8m2!3d24.5788112!4d46.6587283!16s%2Fg%2F11kqw5n0js!19sChIJay58E18RLz4RlvUDMyrj4BI?authuser=0&hl=ar&rclk=1,مركز حروف الطفولة,4.8,(113),رياض أطفال,050 960 0989,https://ssl.gstatic.com/local/servicebusiness/default_user.png,السويدي,,,غرب الرياض
https://www.google.com/maps/place/%D9%85%D8%AF%D8%A7%D8%B1%D8%B3+%D8%B1%D8%A7%D8%A6%D8%AF%D8%A9+%D8%A7%D9%84%D8%AA%D8%B9%D9%84%D9%8A%D9%85+%D8%A7%D9%84%D8%A7%D9%87%D9%84%D9%8A%D8%A9%E2%80%AD/data=!4m7!3m6!1s0x3e2f1ab284b49763:0xb25e80b3c773f5a5!8m2!3d24.6001341!4d46.6695927!16s%2Fg%2F11cs4k2b57!19sChIJY5e0hLIaLz4RpfVzx7OAXrI?authuser=0&hl=ar&rclk=1,مدارس رائدة التعليم الاهلية,3.2,(57),مدرسة,056 068 6522,https://ssl.gstatic.com/local/servicebusiness/default_user.png,السويدي,,,غرب الرياض
